id,candidate_length,in_candidates,response,answer
0,8,False,notInC,Avery Dennison
1,7,False,notInKB,notInKB
2,5,True,West Germany,West Germany
3,1,True,Avery Dennison,Avery Dennison
4,8,True,Key Tronic,Key Tronic
5,9,True,London,London
6,8,True,Teradyne,Teradyne
7,1,True,Digital Equipment Corporation,Digital Equipment Corporation
8,9,True,Philadelphia,Philadelphia
9,8,True,International Securities Exchange,Prudential Securities
10,8,True,Bache & Co.,Prudential Securities
11,2,True,Toronto Stock Exchange,Toronto Stock Exchange
12,2,True,Toronto Stock Exchange,Toronto Stock Exchange
13,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
14,8,False,notInC,Prudential Securities
15,8,False,notInKB,notInKB
16,8,True,Netherlands,Netherlands
17,8,True,Thomson Reuters,Reuters
18,8,True,Netherlands,Netherlands
19,1,True,notInKB,notInKB
20,1,True,"Francis Tombs, Baron Tombs","Francis Tombs, Baron Tombs"
21,10,True,notInKB,notInKB
22,10,True,notInKB,notInKB
23,10,True,notInKB,notInKB
24,10,True,notInKB,notInKB
25,5,True,Philips,Philips
26,1,True,New York Stock Exchange,New York Stock Exchange
27,9,True,Anton Philips,Philips
28,7,False,notInKB,notInKB
29,10,False,notInKB,notInKB
30,4,True,NASDAQ,NASDAQ
31,4,True,New York Stock Exchange,New York Stock Exchange
32,9,True,Anton Philips,Philips
33,9,True,New York City,New York
34,10,True,United States,United States
35,9,True,Philips,Philips
36,1,True,European Commission,European Commission
37,9,True,France,France
38,4,True,West Germany,West Germany
39,7,True,Belgium,Belgium
40,7,True,Spain,Spain
41,7,True,Denmark,Denmark
42,10,True,Salomon Brothers,Salomon Brothers
43,2,True,Volkswagen Group,Volkswagen Group
44,10,True,Volkswagen,Volkswagen Group
45,10,True,Volkswagen,Volkswagen Group
46,10,True,Volkswagen,Volkswagen Group
47,10,True,Volkswagen,Volkswagen Group
48,10,True,Volkswagen,Volkswagen Group
49,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
50,5,True,Hambros Bank,Hambros Bank
51,9,True,London,London
52,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
53,5,True,Hambros Bank,Hambros Bank
54,9,True,London,London
55,10,True,"Salem, Oregon","Salem, Oregon"
56,10,False,notInC,Oregon
57,6,True,Helen of Troy Limited,Helen of Troy Limited
58,8,True,U.S. Securities and Exchange Commission,U.S. Securities and Exchange Commission
59,6,True,Helen of Troy Limited,Helen of Troy Limited
60,10,True,Drexel Burnham Lambert,Drexel Burnham Lambert
61,8,True,Brazil,Brazil
62,7,True,Hanover Insurance,Hanover Insurance
63,10,False,notInC,Hanover Insurance
64,10,False,notInC,Hanover Insurance
65,9,True,Osaka,Osaka
66,10,True,Japan,Japan
67,10,True,Japan,Japan
68,10,True,Japan,Japan
69,6,True,"Paramus, New Jersey","Paramus, New Jersey"
70,1,True,New Jersey,New Jersey
71,7,True,"Wayne, New Jersey","Wayne, New Jersey"
72,1,True,New Jersey,New Jersey
73,9,True,"Hackensack, New Jersey","Hackensack, New Jersey"
74,1,True,New Jersey,New Jersey
75,10,True,"National Park, New Jersey","National Park, New Jersey"
76,1,True,New Jersey,New Jersey
77,8,True,"Key West, Florida",Key West
78,4,True,Florida,Florida
79,10,True,"Myrtle Beach, South Carolina","Myrtle Beach, South Carolina"
80,4,True,South Carolina,South Carolina
81,10,True,Houston,Houston
82,10,True,"Louisville, Kentucky","Louisville, Kentucky"
83,8,False,notInC,Kentucky
