id,candidate_length,in_candidates,response,answer
0,1,True,Nouri al-Maliki,Nouri al-Maliki
1,8,True,Baghdad,Baghdad
2,8,True,Iraq,Iraq
3,8,True,Iraq,Iraq
4,5,True,NBC,NBC News
5,5,True,Saddam Hussein,Saddam Hussein
6,5,True,Saddam Hussein,Saddam Hussein
7,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
8,3,True,Saddam Hussein,Saddam Hussein
9,4,True,notInKB,notInKB
10,3,True,Saddam Hussein,Saddam Hussein
11,4,True,Al Jazeera,Al Jazeera
12,8,True,World Wide Web,Internet
13,3,True,Saddam Hussein,Saddam Hussein
14,10,True,notInKB,notInKB
15,2,True,Nouri al-Maliki,Nouri al-Maliki
16,1,True,Nouri al-Maliki,Nouri al-Maliki
17,3,True,Saddam Hussein,Saddam Hussein
18,3,True,United States Army,United States Armed Forces
19,9,True,United States,United States
20,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
21,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
22,3,True,Saddam Hussein,Saddam Hussein
23,1,True,notInKB,notInKB
24,4,True,Al Jazeera,Al Jazeera
25,8,True,Website,Website
26,3,True,Saddam Hussein,Saddam Hussein
27,10,True,The New York Times,The New York Times
28,6,True,Husayn ibn Ali,Saddam Hussein
29,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
30,2,True,Nouri al-Maliki,Nouri al-Maliki
31,9,True,The New York Times,The New York Times
32,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
33,10,True,notInKB,notInKB
34,3,True,Nouri al-Maliki,Nouri al-Maliki
35,8,True,Najaf Governorate,Najaf
36,3,True,Saddam Hussein,Saddam Hussein
37,1,True,Al Arabiya,Al Arabiya
38,6,True,NBCUniversal,MSNBC
39,3,True,Saddam Hussein,Saddam Hussein
40,1,True,Muqtada al-Sadr,Muqtada al-Sadr
41,1,True,Muqtada al-Sadr,Muqtada al-Sadr
42,1,True,Muqtada al-Sadr,Muqtada al-Sadr
43,1,True,Muqtada al-Sadr,Muqtada al-Sadr
44,2,True,notInKB,notInKB
45,2,True,Sunni Islam,Sunni Islam
46,2,True,Muqtada al-Sadr,Muqtada al-Sadr
