id,candidate_length,in_candidates,response,answer
0,9,True,Jerusalem in Christianity,Jerusalem
1,10,True,Agence France-Presse,Agence France-Presse
2,9,True,Iran,Iran
3,10,True,Moscow,Moscow
4,9,False,notInC,Ministry of Defense and Armed Forces Logistics (Iran)
5,10,True,Beirut,Beirut
6,10,True,Agence France-Presse,Agence France-Presse
7,10,True,Lebanon,Lebanon
8,8,True,Israel,Israel
9,10,True,Beirut,Beirut
10,10,True,Agence France-Presse,Agence France-Presse
11,10,True,Lebanon,Lebanon
12,10,True,United Arab Emirates,United Arab Emirates
13,8,True,Mexico,Mexico
14,9,True,Bangkok,Bangkok
15,9,True,London,London
16,10,True,Agence France-Presse,Agence France-Presse
17,9,True,Baghdad,Baghdad
18,8,True,Riyadh,Riyadh
19,1,True,King Khalid International Airport,King Khalid International Airport
20,2,True,Bandar Seri Begawan,Bandar Seri Begawan
21,10,True,Agence France-Presse,Agence France-Presse
22,2,True,Florida,Florida
23,8,True,Brunei,Brunei
24,10,True,notInKB,notInKB
25,10,True,Agence France-Presse,Agence France-Presse
26,9,True,Egypt,Egypt
27,0,False,notInKB,notInKB
28,2,True,Bandar Seri Begawan,Bandar Seri Begawan
29,10,True,Agence France-Presse,Agence France-Presse
30,3,True,Brunei,Brunei
31,9,True,Iran,Iran
32,10,True,notInKB,notInKB
33,10,True,Agence France-Presse,Agence France-Presse
34,1,True,Zeist,Zeist
35,10,True,Netherlands,Holland
36,10,True,Agence France-Presse,Agence France-Presse
37,7,True,Soviet Union,Soviet Union
38,8,True,Sweden,Sweden
39,10,True,Amsterdam (city),Amsterdam
40,9,True,Copenhagen,Copenhagen
41,8,True,Stockholm,Stockholm
42,0,False,notInKB,notInKB
43,0,False,notInKB,notInKB
44,8,True,Malta,Malta
45,9,True,Baghdad,Baghdad
46,10,True,Agence France-Presse,Agence France-Presse
47,9,True,Iraq,Iraq
48,10,True,Lebanon,Lebanon
49,10,True,Agence France-Presse,Agence France-Presse
50,2,True,Palestinian National Council,Palestinian National Council
51,6,True,Algeria,Algeria
52,2,False,notInC,"Tyre, Lebanon"
53,10,True,Beirut,Beirut
54,1,True,notInKB,notInKB
55,9,True,Sidon,Sidon
56,10,True,Lebanon,Lebanon
57,9,True,Jerusalem,Jerusalem
58,2,True,Bandar Seri Begawan,Bandar Seri Begawan
59,10,True,Agence France-Presse,Agence France-Presse
60,8,True,United States,United States
61,10,True,White House,White House
62,0,False,notInKB,notInKB
63,9,True,Jerusalem,Jerusalem
64,10,True,Agence France-Presse,Agence France-Presse
65,9,True,West Bank,West Bank
66,9,True,"Tallahassee, Florida","Tallahassee, Florida"
67,8,True,United States,United States
68,10,True,Agence France-Presse,Agence France-Presse
69,10,False,notInC,Supreme Court of Florida
70,9,True,Florida,Florida
71,10,True,United States,United States
72,1,True,Madeleine Albright,Madeleine Albright
73,10,True,Yale University,Yale University
74,1,True,Rick Levin,Rick Levin
75,0,False,notInKB,notInKB
76,9,True,Middle East,Middle East
77,4,True,Time (magazine),Time (magazine)
78,2,True,Bandar Seri Begawan,Bandar Seri Begawan
79,10,True,Agence France-Presse,Agence France-Presse
80,8,True,Russia,Russia
81,8,True,Brunei,Brunei
82,0,False,notInKB,notInKB
83,9,True,Cairo,Cairo
84,9,True,Egypt,Egypt
85,8,True,Associated Press,Associated Press
86,6,True,Syria,Syria
87,10,False,notInC,President of Egypt
88,9,True,Iraq,Iraq
89,9,True,Palestinian territories,West Bank
90,6,True,Gaza Strip,Gaza Strip
91,9,True,Jerusalem,Jerusalem
92,9,True,Time Warner,Time Warner
93,0,False,notInKB,notInKB
94,10,True,Boston,Boston
95,1,True,notInKB,notInKB
96,10,True,The Walt Disney Company,The Walt Disney Company
97,4,True,Capital Cities Communications,Capital Cities Communications
98,10,False,notInC,Time Inc.
99,10,False,notInC,Warner Communications
100,2,True,Roger McNamee,Roger McNamee
101,5,True,Bank of America Merrill Lynch,Merrill Lynch
102,10,True,NBC,NBC
103,7,True,"Washington, D.C.","Washington, D.C."
104,0,False,notInKB,notInKB
105,10,True,Comcast,Comcast
106,10,True,"Chattanooga, Tennessee","Chattanooga, Tennessee"
107,1,True,Tennessee,Tennessee
108,7,True,Washington (state),"Washington, D.C."
109,8,True,Arkansas,Arkansas
110,10,True,White House,White House
111,9,True,Wisconsin,Wisconsin
112,9,True,Iowa,Iowa
113,9,True,Michigan,Michigan
114,7,True,Pennsylvania,Pennsylvania
115,10,True,"Green Bay, Wisconsin","Green Bay, Wisconsin"
116,9,True,"Washington, D.C.","Washington, D.C."
117,7,True,"Washington, D.C.","Washington, D.C."
118,6,True,Ralph Nader,Ralph Nader
119,10,True,United States,United States
120,10,True,White House,White House
121,9,True,Florida,Florida
122,9,True,Oregon,Oregon
123,10,True,"Portland, Oregon","Portland, Oregon"
124,10,False,notInC,Green Party of Florida
125,4,True,Sierra Club,Sierra Club
126,9,True,University of Florida,University of Florida
127,9,True,"Gainesville, Florida","Gainesville, Florida"
128,10,True,American Broadcasting Company,American Broadcasting Company
129,8,True,NFL on Fox,Fox Sports (United States)
130,4,True,Sun Microsystems,Sun Microsystems
