id,candidate_length,in_candidates,response,answer
0,1,True,Nouri al-Maliki,Nouri al-Maliki
1,9,True,Baghdad,Baghdad
2,9,True,Iraq,Iraq
3,9,True,Iraq,Iraq
4,5,True,NBC,NBC News
5,7,True,Saddam Hussein,Saddam Hussein
6,7,True,Saddam Hussein,Saddam Hussein
7,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
8,6,True,Saddam Hussein,Saddam Hussein
9,3,True,Iraqi Armed Forces,Iraqi Army
10,6,True,Saddam Hussein,Saddam Hussein
11,6,True,Al Jazeera,Al Jazeera
12,10,True,Online gambling,Internet
13,6,True,Saddam Hussein,Saddam Hussein
14,5,True,Associated Press,Associated Press
15,2,True,Nouri al-Maliki,Nouri al-Maliki
16,1,True,Nouri al-Maliki,Nouri al-Maliki
17,6,True,Saddam Hussein,Saddam Hussein
18,6,True,United States Armed Forces,United States Armed Forces
19,8,True,United States,United States
20,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
21,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
22,6,True,Saddam Hussein,Saddam Hussein
23,1,True,Associated Press,Associated Press
24,6,True,Al Jazeera,Al Jazeera
25,7,True,Website,Website
26,6,True,Saddam Hussein,Saddam Hussein
27,7,True,The New York Times,The New York Times
28,9,True,Saddam Hussein,Saddam Hussein
29,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
30,4,True,Nouri al-Maliki,Nouri al-Maliki
31,10,True,The New York Times,The New York Times
32,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
33,8,True,Associated Press,Associated Press
34,4,True,Nouri al-Maliki,Nouri al-Maliki
35,10,True,Najaf,Najaf
36,6,True,Saddam Hussein,Saddam Hussein
37,1,True,Al Arabiya,Al Arabiya
38,7,True,MSNBC,MSNBC
39,6,True,Saddam Hussein,Saddam Hussein
40,1,True,Muqtada al-Sadr,Muqtada al-Sadr
41,1,True,Muqtada al-Sadr,Muqtada al-Sadr
42,1,True,Muqtada al-Sadr,Muqtada al-Sadr
43,1,True,Muqtada al-Sadr,Muqtada al-Sadr
44,2,True,notInKB,notInKB
45,4,True,Islam,Sunni Islam
46,2,True,Muqtada al-Sadr,Muqtada al-Sadr
47,6,True,Saddam Hussein,Saddam Hussein
48,4,True,Nouri al-Maliki,Nouri al-Maliki
49,10,True,United States,United States
50,9,True,William Caldwell (ranger),William B. Caldwell
51,6,True,United States Armed Forces,United States Armed Forces
52,5,True,United States Armed Forces,United States Armed Forces
53,9,True,Iraq,Iraq
54,10,False,notInC,William B. Caldwell
55,6,True,Saddam Hussein,Saddam Hussein
56,9,True,United States Armed Forces,United States Armed Forces
57,10,False,notInC,William B. Caldwell
58,3,True,Santa Baby,Santa Baby
59,3,True,Mayo Clinic,Mayo Clinic
60,3,True,Mayo Clinic,Mayo Clinic
