id,candidate_length,in_candidates,response,answer
0,7,True,2008–09 Liga Leumit,Liga Leumit
1,1,True,Israel Football Association,Israel Football Association
2,1,True,Sektzia Nes Tziona F.C.,Sektzia Nes Tziona F.C.
3,1,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
4,7,True,Liga Alef,Liga Alef
5,1,True,Hapoel Kfar Saba F.C.,Hapoel Kfar Saba F.C.
6,1,True,Beitar Jerusalem F.C.,Beitar Jerusalem F.C.
7,4,True,Maccabi Tel Aviv F.C.,Maccabi Tel Aviv F.C.
8,1,True,Maccabi Netanya F.C.,Maccabi Netanya F.C.
9,1,True,Mordechai Spiegler,Mordechai Spiegler
10,1,True,Knesset,Knesset
11,9,True,Maccabi Tel Aviv,Maccabi World Union
12,10,True,Haifa,Maccabi Haifa F.C.
13,1,True,Maccabi Jaffa F.C.,Maccabi Jaffa F.C.
14,5,True,Netanya,Maccabi Netanya F.C.
15,2,True,Maccabi Sha'arayim F.C.,Maccabi Sha'arayim F.C.
16,9,False,notInC,Maccabi Tel Aviv F.C.
17,7,True,Hapoel Tel Aviv F.C.,Hapoel
18,4,True,Hapoel Be'er Sheva F.C.,Hapoel Be'er Sheva F.C.
19,10,False,notInC,Hapoel Haifa F.C.
20,9,False,notInC,Hapoel Jerusalem F.C.
21,2,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
22,3,True,Hapoel Petah Tikva F.C.,Hapoel Petah Tikva F.C.
23,9,True,Tel Aviv,Hapoel Tel Aviv F.C.
24,4,True,1994 Winter Olympics opening ceremony,Opening ceremony
25,1,True,Lysgårdsbakken,Lysgårdsbakken
26,9,True,Lillehammer,Lillehammer
27,8,True,Norway,Norway
28,10,True,Sami people,Sami people
29,1,True,Joik,Joik
30,2,True,Telemark skiing,Telemark skiing
31,1,True,notInKB,notInKB
32,10,True,Norse cosmology,Norse mythology
33,1,True,Juan Antonio Samaranch,Juan Antonio Samaranch
34,1,True,Harald V of Norway,Harald V of Norway
35,1,True,Ole Gunnar Fidjestøl,Ole Gunnar Fidjestøl
36,1,True,Vegard Ulvang,Vegard Ulvang
37,1,True,Kari Kåring,Kari Kåring
38,4,True,Edvard Munch,Edvard Munch
39,5,True,The Scream,The Scream
40,1,True,notInKB,notInKB
41,4,True,Big 12 Conference,Big 12 Conference
42,10,False,notInC,1996 Texas Longhorns football team
43,10,True,1996 Nebraska Cornhuskers football team,1996 Nebraska Cornhuskers football team
44,4,True,Big 12 Conference,Big 12 Conference
45,10,False,notInC,1996 NCAA Division I-A football season
46,5,True,Big Eight Conference,Big Eight Conference
47,2,True,Southwest Conference,Southwest Conference
48,8,True,Southeastern Conference,Southeastern Conference
49,1,True,SEC Championship Game,SEC Championship Game
50,10,False,notInC,ACC Championship Game
51,4,False,notInC,Big Ten Football Championship Game
52,4,True,2009 Conference USA football season,Conference USA Football Championship Game
53,10,False,notInKB,notInKB
54,6,True,notInKB,notInKB
55,10,False,notInKB,notInKB
56,10,True,Colorado,Colorado Buffaloes football
57,8,True,Nebraska Cornhuskers,Nebraska Cornhuskers football
58,8,False,notInC,2010 Big 12 Championship Game
59,10,False,notInKB,notInKB
60,4,True,notInKB,notInKB
61,1,True,European Pairs Speedway Championship,European Pairs Speedway Championship
62,9,False,notInC,2009 in sports
63,3,True,Miskolc,Miskolc
64,7,True,Hungary,Hungary
65,1,True,Czech Republic national speedway team,Czech Republic national speedway team
66,8,False,notInC,Russia national speedway team
67,8,True,Poland,Poland national speedway team
68,8,True,Poland national speedway team,Poland national speedway team
69,7,False,notInC,Czech Republic national speedway team
70,8,False,notInC,Russia national speedway team
71,7,False,notInC,Hungary national speedway team
72,10,False,notInKB,notInKB
73,9,True,Ljubljana,Ljubljana
74,5,True,Slovenia,Slovenia
75,9,False,notInC,Austria national speedway team
76,9,False,notInC,Germany national speedway team
77,8,False,notInC,Ukraine national speedway team
78,9,False,notInC,Finland national speedway team
79,5,False,notInC,Slovenia national speedway team
80,10,False,notInC,Italy national speedway team
81,9,False,notInC,Croatia national speedway team
82,2,True,Superfinalen,Superfinalen
83,10,True,Association football,Association football
84,10,True,2008 Tippeligaen,Tippeligaen
85,8,True,2009 Norwegian Football Cup,Norwegian Football Cup
86,2,True,Telenor Arena,Telenor Arena
87,2,True,Bærum,Bærum
88,4,True,Stabæk Fotball,Stabæk Fotball
89,6,True,Vålerenga Fotball,Vålerenga Fotball
90,1,True,2008 Norwegian Football Cup,2008 Norwegian Football Cup
91,1,True,Football Association of Norway,Football Association of Norway
92,1,True,Norsk Toppfotball,Norsk Toppfotball
93,5,True,TV 2 (Norway),TV 2 (Norway)
94,6,True,2004 FA Community Shield,FA Community Shield
95,7,True,UNICEF,UNICEF
96,1,True,2008 Norwegian Football Cup Final,2008 Norwegian Football Cup Final
97,1,True,Daniel Nannskog,Daniel Nannskog
98,1,True,Daigo Kobayashi,Daigo Kobayashi
99,1,True,Pálmi Rafn Pálmason,Pálmi Rafn Pálmason
100,1,True,Mohammed Abdellaoue,Mohammed Abdellaoue
101,2,True,Telenor Arena,Telenor Arena
102,4,True,notInKB,notInKB
103,1,True,Team Speedway Junior European Championship,Team Speedway Junior European Championship
104,9,False,notInC,2009 in sports
105,1,True,Holsted,Holsted
106,7,True,Denmark,Denmark
107,8,False,notInC,Poland national under-19 speedway team
108,8,False,notInC,Sweden national under-19 speedway team
109,7,False,notInC,Denmark national under-19 speedway team
110,7,False,notInC,Czech Republic national under-19 speedway team
111,8,False,notInC,Sweden national under-19 speedway team
112,7,False,notInC,Denmark national under-19 speedway team
113,8,False,notInC,Poland national under-19 speedway team
114,3,True,"Bockhorn, Lower Saxony","Bockhorn, Lower Saxony"
115,9,True,Germany,Germany
116,7,False,notInC,Czech Republic national under-19 speedway team
117,8,False,notInC,Russia national under-19 speedway team
118,9,False,notInC,Germany national under-19 speedway team
119,8,False,notInC,Russia national under-19 speedway team
120,9,False,notInC,Finland national under-19 speedway team
121,5,True,2009 Marshall Thundering Herd football team,Marshall University
122,5,True,Marshall Thundering Herd,Marshall Thundering Herd
123,10,True,College,College football
124,10,True,American football,American football
125,2,True,Conference USA,Conference USA
126,1,True,National Collegiate Athletic Association,National Collegiate Athletic Association
127,6,False,notInC,2009 Marshall Thundering Herd football team
128,1,True,Mark Snyder,Mark Snyder
129,9,False,notInC,2009 Little Caesars Pizza Bowl
130,5,True,2009 Little Caesars Pizza Bowl,Little Caesars Pizza Bowl
131,5,True,2009 Ohio Bobcats football team,Ohio University
132,10,False,notInC,Ohio Bobcats football
133,1,True,notInKB,notInKB
134,1,True,2002 GMAC Bowl,2002 GMAC Bowl
135,3,True,South Florida Bulls,University of South Florida
136,9,True,South Florida Bulls football,South Florida Bulls football
137,10,True,2009 Rose Bowl,Rose Bowl Game
138,1,True,Terrelle Pryor,Terrelle Pryor
139,3,True,"Pasadena, California","Pasadena, California"
140,1,True,Brandon Saine,Brandon Saine
141,5,True,Doc Holliday (American football),Doc Holliday (American football)
142,1,True,Geno Smith,Geno Smith
143,5,True,Doc Holliday (American football),Doc Holliday (American football)
144,1,True,Larry Fedora,Larry Fedora
145,1,True,Dominique Davis,Dominique Davis
146,1,True,Southern Airways Flight 932,Southern Airways Flight 932
147,1,True,Trevor Vittatoe,Trevor Vittatoe
148,3,True,notInKB,notInKB
149,1,True,CASCAR Super Series,CASCAR Super Series
150,4,True,The Sports Network,The Sports Network
151,4,True,The Sports Network,The Sports Network
152,1,True,Circuit Gilles Villeneuve,Circuit Gilles Villeneuve
153,10,True,Toronto,Toronto
154,1,True,Dave Whitlock,Dave Whitlock
155,1,True,Scott Steckly,Scott Steckly
156,2,True,Canadian Tire,Canadian Tire
157,10,True,Dodge,Dodge
158,6,True,"Aaron's, Inc.","Aaron's, Inc."
159,1,True,Andrew Ranger,Andrew Ranger
160,9,True,Tide (brand),Tide (brand)
161,8,True,Walmart,Walmart
162,7,True,NASCAR,NASCAR
163,1,True,notInKB,notInKB
164,1,True,Delaware Speedway,Delaware Speedway
165,1,True,D. J. Kennington,D. J. Kennington
166,1,True,J. R. Fitzpatrick,J. R. Fitzpatrick
167,1,True,Kerry Micks,Kerry Micks
168,1,True,Scott Steckly,Scott Steckly
169,1,True,Autodrome Saint-Eustache,Autodrome Saint-Eustache
170,1,True,Motoplex Speedway,Motoplex Speedway
171,1,True,Scott Steckly,Scott Steckly
172,1,True,Auto Clearing Motor Speedway,Auto Clearing Motor Speedway
173,9,True,Trois-Rivières,Circuit Trois-Rivières
174,1,True,notInKB,notInKB
175,1,True,notInKB,notInKB
176,1,True,notInKB,notInKB
177,1,True,Peter Shepherd (racing driver),Peter Shepherd (racing driver)
178,1,True,2011 Grand Prix motorcycle racing season,2011 Grand Prix motorcycle racing season
179,1,True,Marco Simoncelli,Marco Simoncelli
180,8,True,Sepang International Circuit,Sepang International Circuit
181,8,False,notInC,2012 Grand Prix motorcycle racing season
182,1,True,Stefan Bradl,Stefan Bradl
183,1,True,Marc Márquez,Marc Márquez
184,10,False,notInKB,notInKB
185,2,True,Colin Edwards,Colin Edwards
186,10,False,notInC,2011 AMA Pro American Superbike Championship season
187,1,True,AMA Superbike Championship,AMA Superbike Championship
188,1,True,Josh Hayes,Josh Hayes
189,10,True,Yamaha YZF-R1,Yamaha Motor Company
190,2,True,Tech 3,Tech 3
191,1,True,Jorge Lorenzo,Jorge Lorenzo
192,1,True,Katsuyuki Nakasuga,Katsuyuki Nakasuga
193,2,True,Loris Capirossi,Loris Capirossi
194,3,True,Motorcycle racing,Motorcycle racing
195,1,True,Gresini Racing,Gresini Racing
196,1,True,Kevin Schwantz,Kevin Schwantz
197,1,True,Valentino Rossi,Valentino Rossi
198,8,True,4769 Castalia,Asteroid
199,1,True,Radar imaging,Radar imaging
200,1,True,Eleanor F. Helin,Eleanor F. Helin
201,1,True,Palomar Observatory,Palomar Observatory
202,9,True,Castalia,Castalia
203,9,True,Arethusa (mythology),Nymph
204,8,True,Cassandra,Greek mythology
205,2,True,notInKB,notInKB
206,6,True,Radar astronomy,Radar astronomy
207,1,True,Arecibo Observatory,Arecibo Observatory
208,3,True,notInKB,notInKB
209,7,True,Washington State University,Washington State University
210,1,True,Steven J. Ostro,Steven J. Ostro
211,8,True,Jet Propulsion Laboratory,Jet Propulsion Laboratory
212,8,True,Structure (mathematical logic),Mathematical model
213,3,True,Apparent magnitude,Apparent magnitude
214,2,True,notInKB,notInKB
215,9,False,notInC,Experimental film
216,1,True,Collage film,Collage film
217,1,True,Arthur Lipsett,Arthur Lipsett
218,3,True,Newsreel,Newsreel
219,10,True,Post-war,Post-war
220,3,True,Technocracy movement,Technocracy
221,1,True,Donald Brittain,Donald Brittain
222,4,True,Time capsule,Time capsule
223,7,True,Skyscraper,Skyscraper
224,5,True,John D. Rockefeller,John D. Rockefeller
225,7,True,Richard Nixon,Richard Nixon
226,10,True,Montreal,Montreal
227,10,True,New York City,New York City
228,9,True,England,English people
229,10,True,"Edmonton, London","Edmonton, London"
230,9,True,London,London
231,1,True,Nottinghamshire Cricket Board,Nottinghamshire Cricket Board
232,6,True,Bedfordshire,Bedfordshire County Cricket Club
233,1,True,notInKB,notInKB
234,9,True,Luton,Luton
235,1,True,notInKB,notInKB
236,7,True,Oxfordshire,Oxfordshire County Cricket Club
237,1,True,Christ Church Ground,Christ Church Ground
238,10,True,Oxford,Oxford
239,3,True,notInKB,notInKB
240,7,True,First-class cricket,First-class cricket
241,9,True,Nottinghamshire County Cricket Club,Nottinghamshire County Cricket Club
242,8,False,notInC,India A cricket team
243,1,True,notInKB,notInKB
244,2,True,Housing estate,Housing estate
245,1,True,Redrow plc,Redrow plc
246,9,True,Abbey,Abbey
247,10,True,notInKB,notInKB
248,6,True,Renting,Leasehold estate
249,3,True,Townhouse,Townhouse
250,2,True,Semi-detached,Semi-detached
251,1,True,Bungalow,Bungalow
252,3,True,Bisham,Bisham Abbey
253,10,False,notInC,Dale Abbey
254,10,True,"Newstead, Nottinghamshire",Newstead Abbey
255,4,True,Fountains Abbey,Fountains Abbey
256,3,True,Cul-de-sac,Cul-de-sac
257,9,True,Tewkesbury,Tewkesbury Abbey
258,9,True,Hexham,Hexham Abbey
259,9,False,notInC,Bolton Abbey
260,10,True,Furness,Furness Abbey
261,1,True,Retirement home,Retirement home
262,3,True,notInKB,notInKB
263,7,True,State highway,State highway
264,8,True,BadLLM: Alabama,U.S. state
265,9,True,Alabama,Alabama
266,9,True,Tennessee,Tennessee
