id,candidate_length,in_candidates,response,answer
0,1,True,Brain tumor,Brain tumor
1,9,True,Breast cancer,Breast cancer
2,2,True,Cerebral hemorrhage,Bleeding
3,9,True,Bangkok,Bangkok
4,1,True,Radiosurgery,Radiosurgery
5,8,True,Thailand,Thailand
6,3,True,Cancer,Cancer
7,4,True,Tissue (biology),Tissue (biology)
8,5,True,3D computer graphics,Three-dimensional space
9,1,True,notInKB,notInKB
10,10,True,Radiation therapy,Radiation
11,1,True,Linear particle accelerator,Linear particle accelerator
12,5,True,Consciousness,Consciousness
13,1,True,Congenital disorder,Congenital disorder
14,3,True,Thrombosis,Coagulation
15,2,True,Capillary,Capillary
16,6,True,Malaysia,Malaysia
17,9,False,notInC,Federation
18,10,False,notInKB,notInKB
19,6,True,Ministry (government department),Government agency
20,9,True,Economy,Economy
21,9,True,Implementation,Implementation
22,10,True,Rural area,Rural area
23,7,True,Resource allocation,Resource allocation
24,8,True,Ministry (government department),Ministry (government department)
25,8,True,Poverty,Poverty
26,8,True,Minister (government),Minister (government)
27,4,True,notInKB,notInKB
28,1,True,Lukut,Lukut
29,2,True,Negeri Sembilan,Negeri Sembilan
30,1,True,Port Dickson,Port Dickson
31,9,True,Research,Research
32,1,True,Mechai Viravaidya,Mechai Viravaidya
33,6,False,notInC,SET Index
34,1,True,Business ethics,Business ethics
35,9,True,Alternative lifestyle,Lifestyle (sociology)
36,10,True,Senior management,Chief executive officer
37,6,True,Bank,Bank
38,9,True,Financial services,Finance
39,1,True,Bank of Thailand,Bank of Thailand
40,6,False,notInC,List of national legal systems
41,2,True,Thai people,Thai people
42,7,False,notInC,Newspaper
43,6,True,notInKB,notInKB
44,10,True,notInKB,notInKB
45,6,True,Russian mafia,Organized crime
46,1,True,Gazprom Neft,Gazprom Neft
47,4,True,Kemerovo,Kemerovo
48,9,True,Siberia,Siberia
49,8,True,Russia,Russia
50,10,True,Rupert Murdoch,Business magnate
51,2,True,Boris Berezovsky (businessman),Boris Berezovsky (businessman)
52,3,True,Petroleum product,Oil
53,10,True,Coal mining,Coal
54,4,True,notInKB,notInKB
55,1,True,Contract killing,Contract killing
56,6,True,Gangster,Mobsters
57,1,True,Leninsk-Kuznetsky (city),Leninsk-Kuznetsky (city)
58,9,True,Mayor,Mayor
59,6,True,Fraud,Tax evasion
60,1,True,Embezzlement,Embezzlement
61,1,True,Gennady Konyakhin,Gennady Konyakhin
62,10,False,notInC,Russian mafia
63,7,True,Criminal procedure,Trial
64,6,True,Art theft,Art theft
65,9,True,Budapest,Budapest
66,1,True,Smuggling,Smuggling
67,8,True,notInKB,notInKB
68,2,True,Interpol,United Nations Police
69,4,True,Eastern Europe,Eastern Europe
70,9,True,Early modern France,France
71,9,True,Hungary,Hungarians
72,10,True,Communism,Communism
73,2,True,Hungarian forint,Hungarian forint
74,1,True,notInKB,notInKB
75,10,False,notInC,Entrepreneurial network
76,1,True,notInKB,notInKB
77,1,True,Auction,Auction
78,8,True,Thailand,Thailand
79,8,True,Art auction,Auction
80,1,True,notInKB,notInKB
81,1,True,Thai baht,Thai baht
82,3,True,notInKB,notInKB
83,2,True,notInKB,notInKB
84,1,True,Economy of Thailand,Economy of Thailand
85,1,True,notInKB,notInKB
86,1,True,Chuan Leekpai,Chuan Leekpai
87,2,True,notInKB,notInKB
88,5,True,Queen Sirikit National Convention Center,Queen Sirikit National Convention Center
89,7,True,notInKB,notInKB
90,8,True,notInKB,notInKB
91,1,True,Brooke Shields,Brooke Shields
92,8,False,notInC,Drug
93,3,True,Cannes Film Festival,Cannes Film Festival
94,2,True,The Mail on Sunday,The Mail on Sunday
95,1,True,Nice Côte d'Azur Airport,Nice Côte d'Azur Airport
96,1,True,National Police (France),National Police (France)
97,1,True,DMG Media,DMG Media
98,7,True,notInKB,notInKB
99,8,True,Substance abuse,Substance abuse
100,9,True,Iran,Iran
101,7,True,Prisoner of war,Prisoner of war
102,6,False,notInKB,notInKB
103,1,True,National Iraqi News Agency,National Iraqi News Agency
104,1,True,Muhammad Saeed al-Sahhaf,Muhammad Saeed al-Sahhaf
105,1,True,Missing in action,Missing in action
106,3,True,Iran–Iraq War,Iran–Iraq War
107,3,True,International Committee of the Red Cross,International Committee of the Red Cross
108,9,True,Baghdad,Baghdad
109,5,True,Associated Press,Associated Press
110,9,True,Iraq,Iraq
111,9,True,Iran,Iran
112,6,True,Prisoner of war,Prisoner of war
113,9,True,Baghdad,Baghdad
114,7,True,Delegation,Delegation
115,1,True,National Iraqi News Agency,National Iraqi News Agency
116,9,True,Iran,Tehran
117,4,True,Detention (imprisonment),Detention (imprisonment)
118,8,True,Bleiburg repatriations,Repatriation
119,3,True,International Committee of the Red Cross,International Committee of the Red Cross
120,1,True,Iran–Iraq War,Iran–Iraq War
121,9,True,Iraq,Iraq
122,9,True,Iran,Iran
123,6,True,Prisoner of war,Prisoner of war
124,9,True,Baghdad,Baghdad
125,1,True,National Iraqi News Agency,National Iraqi News Agency
126,9,True,Iran,Tehran
127,8,True,Repatriation,Repatriation
128,3,True,International Committee of the Red Cross,International Committee of the Red Cross
129,1,True,Iran–Iraq War,Iran–Iraq War
130,1,True,Air Afrique,Air Afrique
131,10,True,BadLLM: Boeing 727,Boeing
132,8,True,Murtala Muhammed International Airport,Murtala Muhammed International Airport
133,9,True,Lagos,Lagos
134,1,False,notInC,The Guardian (Nigeria)
135,3,True,Distress signal,Distress signal
136,10,False,notInC,Airport security
137,1,True,Cameroon Airlines,Cameroon Airlines
138,3,True,Airport apron,Tarmac
139,9,True,Nigeria,Nigeria
140,2,True,violent crime,Violent crime
141,8,True,India,India
142,10,True,Journalist,Journalist
143,4,True,Brain tumor,Brain tumor
144,10,True,Politics (journal),Politics
145,5,False,notInKB,notInKB
146,1,True,Prasar Bharati,Prasar Bharati
147,7,True,Statutory corporation,Corporation
148,1,True,University of Calcutta,University of Calcutta
149,9,True,"Merton College, Oxford","Merton College, Oxford"
150,8,True,Open-source journalism,Journalism
151,9,True,Communist Party of India,Communist Party of India
152,5,True,Indira Gandhi,Indira Gandhi
153,5,True,Monopoly,Monopoly
154,10,True,BadLLM: Prime Minister of Vietnam,Prime minister
155,1,True,Phan Văn Khải,Phan Văn Khải
156,9,True,Electric utility,Electricity
157,8,True,Red tape,Bureaucracy
158,8,True,Vietnam,Vietnam
159,1,True,notInKB,notInKB
160,10,False,notInKB,notInKB
161,1,True,Project accounting,Project accounting
162,1,True,Lê Đức Anh,Lê Đức Anh
163,2,False,notInC,Power outage
164,5,True,2011 East Africa drought,Drought
165,9,True,Lake Cascade,Reservoir
166,5,True,Hydropower,Hydroelectricity
167,1,True,Rail transport in Germany,Rail transport in Germany
168,8,True,Fixed-wing aircraft,Fixed-wing aircraft
169,8,False,notInC,Train
170,9,True,Germany,Germany
171,4,True,Lufthansa,Lufthansa
172,3,True,Airline hub,Airline hub
173,9,True,Frankfurt Airport,Frankfurt
174,10,True,Cologne,Cologne
175,1,True,Landing slot,Landing slot
176,3,True,Deutsche Bahn,Deutsche Bahn
177,10,True,Bonn,Bonn
178,4,True,Würzburg,Würzburg
179,10,True,United Airlines,United Airlines
180,9,True,Scandinavian Airlines,Scandinavian Airlines
181,7,True,Saddam Hussein,Saddam Hussein
182,8,True,United States,United States
183,9,True,Iraq War,Iraq
184,1,True,Iran–Iraq War,Iran–Iraq War
185,6,True,United Nations,United Nations
186,8,True,Allies of World War II,Allies of World War II
187,3,True,Politics of Iran,Politics of Iran
188,2,True,Ruhollah Khomeini,Ruhollah Khomeini
189,8,True,United Nations sanctions,Embargo
190,7,True,Sanctions against Iraq,International sanctions
191,9,True,Kuwait,Kuwait
192,10,True,Artillery,Artillery
193,9,True,Baghdad,Baghdad
