id,candidate_length,in_candidates,response,answer
0,1,True,American Civil Liberties Union,American Civil Liberties Union
1,1,True,American Civil Liberties Union,American Civil Liberties Union
2,1,True,American Civil Liberties Union,American Civil Liberties Union
3,1,True,Wu Ching-kuo,Wu Ching-kuo
4,2,True,WPVI-TV,Action News
5,3,True,Sheldon Adelson,Sheldon Adelson
6,1,True,Insurance Institute for Highway Safety,Insurance Institute for Highway Safety
7,2,True,Aeroflot,Aeroflot
8,4,True,notInKB,notInKB
9,3,True,notInKB,notInKB
10,2,False,notInKB,notInKB
11,9,True,Mogadishu,Mogadishu
12,8,True,Alabama,University of Alabama
13,9,False,notInC,United States Citizenship and Immigration Services
14,9,False,notInC,United States Citizenship and Immigration Services
15,8,True,United States Army,United States Army
16,10,True,notInKB,notInKB
17,1,True,Jeff Bezos,Jeff Bezos
18,10,True,notInKB,notInKB
19,1,True,Jeff Bezos,Jeff Bezos
20,1,True,Ambassador Bridge,Ambassador Bridge
21,4,True,Amnesty International,Amnesty International
22,1,True,notInKB,notInKB
23,1,True,Bethanie Mattek-Sands,Bethanie Mattek-Sands
24,1,True,Angelique Kerber,Angelique Kerber
25,1,True,Tímea Babos,Tímea Babos
26,1,True,American Electric Power,American Electric Power
27,9,True,West Virginia,West Virginia
28,1,True,American Electric Power,American Electric Power
29,9,True,West Virginia,West Virginia
30,2,False,notInC,Steve Jobs
31,10,True,notInKB,notInKB
32,8,True,Apple Inc.,Apple Inc.
33,2,True,Tim Cook,Tim Cook
34,8,True,Apple Inc.,Apple Inc.
35,8,True,Steve Jobs,Steve Jobs
36,8,True,Apple Inc.,Apple Inc.
37,8,True,Argentina,Argentina national football team
38,1,True,Agustín Pichot,Agustín Pichot
39,10,True,Arizona Cardinals,Arizona Cardinals
40,2,True,Larry Fitzgerald,Larry Fitzgerald
41,9,True,Raymond T. Odierno,Martin Dempsey
42,2,True,Joint Chiefs of Staff,Joint Chiefs of Staff
43,9,True,Raymond T. Odierno,Martin Dempsey
44,2,True,Joint Chiefs of Staff,Joint Chiefs of Staff
45,7,True,John R. Allen,Martin Dempsey
46,2,True,Joint Chiefs of Staff,Joint Chiefs of Staff
47,1,True,Arthur Caplan,Arthur Caplan
48,10,True,notInKB,notInKB
49,10,True,notInKB,notInKB
50,10,True,notInKB,notInKB
51,10,True,notInKB,notInKB
52,10,True,notInKB,notInKB
53,10,True,notInKB,notInKB
54,10,True,notInKB,notInKB
55,10,True,notInKB,notInKB
56,10,True,notInKB,notInKB
57,10,True,notInKB,notInKB
58,10,True,notInKB,notInKB
59,10,True,Atlanta,Atlanta
60,10,True,"Decatur, Georgia","Decatur, Georgia"
61,3,True,Bay Area Laboratory Co-operative,Bay Area Laboratory Co-operative
62,1,True,Victor Conte,Victor Conte
63,10,False,notInKB,notInKB
