id,candidate_length,in_candidates,response,answer
0,3,True,Liga Leumit,Liga Leumit
1,1,True,Israel Football Association,Israel Football Association
2,1,True,notInKB,notInKB
3,1,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
4,2,True,Liga Alef,Liga Alef
5,1,True,Hapoel Kfar Saba F.C.,Hapoel Kfar Saba F.C.
6,1,True,Beitar Jerusalem F.C.,Beitar Jerusalem F.C.
7,4,True,Maccabi Tel Aviv F.C.,Maccabi Tel Aviv F.C.
8,1,True,Maccabi Netanya F.C.,Maccabi Netanya F.C.
9,1,True,Mordechai Spiegler,Mordechai Spiegler
10,1,True,Knesset,Knesset
11,9,True,Maccabi Tel Aviv F.C.,Maccabi World Union
12,8,True,Maccabi Haifa F.C.,Maccabi Haifa F.C.
13,1,True,Maccabi Jaffa F.C.,Maccabi Jaffa F.C.
14,4,True,Maccabi Netanya F.C.,Maccabi Netanya F.C.
15,1,False,notInC,Maccabi Sha'arayim F.C.
16,8,False,notInC,Maccabi Tel Aviv F.C.
17,7,True,Hapoel Tel Aviv F.C.,Hapoel
18,3,False,notInC,Hapoel Be'er Sheva F.C.
19,8,False,notInC,Hapoel Haifa F.C.
20,6,False,notInC,Hapoel Jerusalem F.C.
21,2,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
22,3,True,Hapoel Petah Tikva F.C.,Hapoel Petah Tikva F.C.
23,8,True,Tel Aviv,Hapoel Tel Aviv F.C.
24,6,True,1994 Winter Olympics closing ceremony,Opening ceremony
25,1,True,Lysgårdsbakken,Lysgårdsbakken
26,10,True,Lillehammer,Lillehammer
27,10,True,notInKB,notInKB
28,10,True,notInKB,notInKB
29,1,True,Joik,Joik
30,2,True,notInKB,notInKB
31,1,True,notInKB,notInKB
32,7,True,Norse mythology,Norse mythology
33,1,True,Juan Antonio Samaranch,Juan Antonio Samaranch
34,1,True,Harald V of Norway,Harald V of Norway
35,1,True,Ole Gunnar Fidjestøl,Ole Gunnar Fidjestøl
36,1,True,Vegard Ulvang,Vegard Ulvang
37,1,True,Kari Kåring,Kari Kåring
38,4,True,The Scream,Edvard Munch
39,4,True,The Scream,The Scream
40,1,True,notInKB,notInKB
41,3,True,Big 12 Conference,Big 12 Conference
42,9,False,notInC,1996 Texas Longhorns football team
43,9,True,1996 Nebraska Cornhuskers football team,1996 Nebraska Cornhuskers football team
44,3,True,Big 12 Conference,Big 12 Conference
45,3,False,notInC,1996 NCAA Division I-A football season
46,4,True,Big Eight Conference,Big Eight Conference
47,2,True,Southwest Conference,Southwest Conference
48,6,True,Southeastern Conference,Southeastern Conference
49,1,True,SEC Championship Game,SEC Championship Game
50,10,False,notInKB,notInKB
51,10,False,notInKB,notInKB
52,4,True,notInKB,notInKB
53,10,False,notInKB,notInKB
54,6,True,notInKB,notInKB
55,6,False,notInC,2010 NCAA Division I FBS football season
56,9,True,University of Colorado Boulder,Colorado Buffaloes football
57,7,True,Nebraska Cornhuskers football,Nebraska Cornhuskers football
58,8,False,notInC,2010 Big 12 Championship Game
59,7,False,notInC,2011 NCAA Division I FBS football season
60,4,True,notInKB,notInKB
61,1,True,notInKB,notInKB
62,10,False,notInKB,notInKB
63,3,True,Miskolc,Miskolc
64,6,True,Hungary,Hungary
65,1,True,Czech Republic national speedway team,Czech Republic national speedway team
66,7,False,notInC,Russia national speedway team
67,7,True,Poland national speedway team,Poland national speedway team
68,7,True,Poland national speedway team,Poland national speedway team
69,7,False,notInC,Czech Republic national speedway team
70,7,False,notInC,Russia national speedway team
71,6,False,notInC,Hungary national speedway team
72,6,False,notInC,Latvia national speedway team
73,8,True,City Municipality of Ljubljana,Ljubljana
74,6,True,Slovenia,Slovenia
75,7,False,notInC,Austria national speedway team
76,9,False,notInC,Germany national speedway team
77,8,False,notInC,Ukraine national speedway team
78,9,False,notInC,Finland national speedway team
79,6,False,notInC,Slovenia national speedway team
80,8,False,notInC,Italy national speedway team
81,8,False,notInC,Croatia national speedway team
82,2,True,notInKB,notInKB
83,6,True,Association football,Association football
84,10,True,notInKB,notInKB
85,10,True,notInKB,notInKB
86,1,True,Telenor Arena,Telenor Arena
87,2,True,Bærum,Bærum
88,4,True,Stabæk Fotball,Stabæk Fotball
89,5,True,Vålerenga Fotball,Vålerenga Fotball
90,1,True,2008 Norwegian Football Cup,2008 Norwegian Football Cup
91,1,True,notInKB,notInKB
92,1,True,Norsk Toppfotball,Norsk Toppfotball
93,5,True,notInKB,notInKB
94,6,True,notInKB,notInKB
95,7,True,UNICEF,UNICEF
96,1,True,2008 Norwegian Football Cup Final,2008 Norwegian Football Cup Final
97,1,True,Daniel Nannskog,Daniel Nannskog
98,1,True,Daigo Kobayashi,Daigo Kobayashi
99,1,True,Pálmi Rafn Pálmason,Pálmi Rafn Pálmason
100,1,True,Mohammed Abdellaoue,Mohammed Abdellaoue
101,1,True,Telenor Arena,Telenor Arena
102,4,True,notInKB,notInKB
103,1,True,Team Speedway Junior European Championship,Team Speedway Junior European Championship
104,10,False,notInKB,notInKB
105,1,True,Holsted,Holsted
106,9,True,Denmark,Denmark
107,7,False,notInC,Poland national under-19 speedway team
108,8,False,notInC,Sweden national under-19 speedway team
