id,candidate_length,in_candidates,response,answer
0,2,True,American Civil Liberties Union,American Civil Liberties Union
1,2,True,American Civil Liberties Union,American Civil Liberties Union
2,2,True,American Civil Liberties Union,American Civil Liberties Union
3,1,True,Wu Ching-kuo,Wu Ching-kuo
4,2,True,WPVI-TV,Action News
5,3,True,Sheldon Adelson,Sheldon Adelson
6,1,True,Insurance Institute for Highway Safety,Insurance Institute for Highway Safety
7,2,True,Aeroflot,Aeroflot
8,4,True,notInKB,notInKB
9,3,True,notInKB,notInKB
10,2,False,notInKB,notInKB
11,10,True,Mogadishu,Mogadishu
12,9,True,University of Alabama,University of Alabama
13,10,False,notInC,United States Citizenship and Immigration Services
14,10,False,notInC,United States Citizenship and Immigration Services
15,10,True,United States Army,United States Army
16,9,True,Amazon.com,Amazon.com
17,2,True,Jeff Bezos,Jeff Bezos
18,9,True,Amazon.com,Amazon.com
19,2,True,Jeff Bezos,Jeff Bezos
20,1,True,Ambassador Bridge,Ambassador Bridge
21,2,True,Amnesty International,Amnesty International
22,1,True,Andrea Hlaváčková,Andrea Hlaváčková
23,1,True,Bethanie Mattek-Sands,Bethanie Mattek-Sands
24,1,True,Angelique Kerber,Angelique Kerber
25,1,True,Tímea Babos,Tímea Babos
26,1,True,American Electric Power,American Electric Power
27,9,True,West Virginia,West Virginia
28,1,True,American Electric Power,American Electric Power
29,9,True,West Virginia,West Virginia
30,3,False,notInC,Steve Jobs
31,5,False,notInC,October
32,9,True,Apple Inc.,Apple Inc.
33,2,True,Tim Cook,Tim Cook
34,9,True,Apple Inc.,Apple Inc.
35,7,True,Steve Jobs,Steve Jobs
36,9,True,Apple Inc.,Apple Inc.
37,9,True,Argentina,Argentina national football team
38,1,True,Agustín Pichot,Agustín Pichot
39,10,True,Arizona Cardinals,Arizona Cardinals
40,2,True,Larry Fitzgerald,Larry Fitzgerald
41,9,True,Martin Dempsey,Martin Dempsey
42,3,True,Joint Chiefs of Staff,Joint Chiefs of Staff
43,9,True,Martin Dempsey,Martin Dempsey
44,3,True,Joint Chiefs of Staff,Joint Chiefs of Staff
45,7,True,Martin Dempsey,Martin Dempsey
46,3,True,Joint Chiefs of Staff,Joint Chiefs of Staff
47,1,True,Arthur Caplan,Arthur Caplan
48,5,True,Associated Press,Associated Press
49,5,True,Associated Press,Associated Press
50,5,True,Associated Press,Associated Press
51,5,True,Associated Press,Associated Press
52,5,True,Associated Press,Associated Press
53,5,True,Associated Press,Associated Press
54,5,True,Associated Press,Associated Press
55,5,True,Associated Press,Associated Press
56,5,True,Associated Press,Associated Press
57,5,True,Associated Press,Associated Press
58,5,True,Associated Press,Associated Press
59,10,True,Atlanta,Atlanta
60,10,True,"Decatur County, Georgia","Decatur, Georgia"
61,3,True,Bay Area Laboratory Co-operative,Bay Area Laboratory Co-operative
62,1,True,Victor Conte,Victor Conte
63,8,False,notInC,BIMP-EAGA
64,10,True,BMC Racing Team,BMC Racing Team
65,1,True,Tejay van Garderen,Tejay van Garderen
66,1,True,Bafétimbi Gomis,Bafétimbi Gomis
67,9,True,France,France national football team
68,2,True,Bob Baffert,Bob Baffert
69,8,True,Baltimore Orioles,Baltimore Orioles
70,1,True,Josh Beckett,Josh Beckett
71,9,True,Baltimore,Baltimore Orioles
72,1,True,Josh Beckett,Josh Beckett
73,9,True,Baltimore,Baltimore Orioles
74,1,True,Josh Beckett,Josh Beckett
75,10,False,notInC,"Bangor, Iowa"
76,10,False,notInC,"Bangor, Iowa"
77,9,True,Denver,Denver
78,9,True,Barclays,Barclays
79,10,True,Great Britain,Great Britain
80,9,True,Barclays,Barclays
81,8,True,San Francisco–Oakland Bay Bridge,San Francisco–Oakland Bay Bridge
82,9,False,notInC,Marshall Thundering Herd football
83,9,True,Gatineau,Gatineau
84,1,True,notInKB,notInKB
85,9,False,notInKB,notInKB
86,10,True,"Milton, Massachusetts","Milton, Massachusetts"
87,1,True,BlueScope Steel,BlueScope Steel
88,6,True,Richard H. Bernstein,Richard H. Bernstein
89,9,True,Port authority,Port authority
90,1,True,Bobby Valentine,Bobby Valentine
91,8,True,Yahoo!,Yahoo!
92,1,True,notInKB,notInKB
93,1,True,Boingo Wireless,Boingo Wireless
94,10,True,Bologna,Bologna
95,10,True,Boston Red Sox,Boston Red Sox
96,1,True,Bobby Valentine,Bobby Valentine
97,10,True,Boston Red Sox,Boston Red Sox
98,1,True,Bobby Valentine,Bobby Valentine
99,10,True,Boston,Boston Red Sox
100,9,True,Minnesota,Minnesota Twins
101,10,True,Boston,Boston Red Sox
102,1,True,Bobby Valentine,Bobby Valentine
103,10,True,Boston,Boston Red Sox
104,1,True,Larry Lucchino,Larry Lucchino
105,10,True,Boston,Boston Red Sox
106,1,True,Johnny Pesky,Johnny Pesky
107,9,False,notInC,Pro Bowl
108,5,False,notInKB,notInKB
109,9,False,notInC,Pro Bowl
110,2,True,Larry Fitzgerald,Larry Fitzgerald
111,6,True,Brad Pitt,Brad Pitt
112,2,True,Jennifer Aniston,Jennifer Aniston
113,6,True,W. Bradford Wilcox,W. Bradford Wilcox
114,7,True,National Marriage Project,The National Marriage Project
115,6,True,UNESCO,UNESCO
116,1,True,West Virginia State University,West Virginia State University
117,1,True,West Virginia State University,West Virginia State University
118,9,True,Norman E. Brinker,Nancy Brinker
119,5,True,British Airways,British Airways
120,9,False,notInC,United States Bureau of Reclamation
121,9,False,notInC,Roman Catholic Archdiocese of Portland in Oregon
