id,candidate_length,in_candidates,response,answer
0,0,False,notInKB,notInKB
1,9,True,Student,Student
2,10,True,notInKB,notInKB
3,1,True,Eugenio Canfari,Eugenio Canfari
4,9,False,notInC,Eugenio Canfari
5,7,False,notInC,Brother
6,5,True,Author,Author
7,10,True,notInKB,notInKB
8,1,False,notInKB,notInKB
9,8,True,Italy,Italy
10,7,True,Juventus F.C.,Juventus F.C.
11,10,True,notInKB,notInKB
12,1,True,Gianni Agnelli,Gianni Agnelli
13,10,False,notInKB,notInKB
14,10,True,notInKB,notInKB
15,10,True,notInKB,notInKB
16,8,True,Italy,Italy
17,7,True,Europe,Europe
18,10,False,notInKB,notInKB
19,9,True,United States,United States
20,0,False,notInKB,notInKB
21,10,True,notInKB,notInKB
22,1,True,"Poughkeepsie, New York","Poughkeepsie, New York"
23,1,True,Marvin Minsky,Marvin Minsky
24,2,False,notInC,Surgeon
25,8,True,Father,Father
26,8,True,Mother,Mother
27,6,True,Zionist activism,Activism
28,8,True,New York metropolitan area,New York City
29,7,False,notInC,Marvin Minsky
30,1,True,Ethical Culture Fieldston School,Ethical Culture Fieldston School
31,1,True,notInKB,notInKB
32,1,True,MIT Computer Science and Artificial Intelligence Laboratory,MIT Computer Science and Artificial Intelligence Laboratory
33,9,True,Marvin Minsky,Marvin Minsky
34,2,True,Seymour Papert,Seymour Papert
35,4,True,Ray Kurzweil,Ray Kurzweil
36,8,True,New York metropolitan area,New York City
37,7,True,Queens,Queens
38,8,False,notInC,Ray Kurzweil
39,7,True,Parent,Parent
40,7,True,Austria,Austria
41,8,False,notInC,Ray Kurzweil
42,4,True,Unitarian Universalist Association,Unitarian Universalism
43,9,False,notInC,Ray Kurzweil
44,10,True,notInKB,notInKB
45,9,True,Ray Kurzweil,Ray Kurzweil
46,2,True,Marvin Minsky,Marvin Minsky
47,9,False,notInC,Marvin Minsky
48,7,True,Massachusetts Institute of Technology,Massachusetts Institute of Technology
49,7,False,notInC,Ray Kurzweil
50,9,True,Ray Kurzweil,Ray Kurzweil
51,1,True,Frank Rosenblatt,Frank Rosenblatt
52,9,True,Cornell University,Cornell University
53,7,True,Massachusetts Institute of Technology,Massachusetts Institute of Technology
54,7,True,Massachusetts Institute of Technology,Massachusetts Institute of Technology
55,2,True,Marvin Minsky,Marvin Minsky
56,7,True,Massachusetts Institute of Technology,Massachusetts Institute of Technology
57,10,True,notInKB,notInKB
58,2,True,University of Turin,University of Turin
59,1,True,Renato Dulbecco,Renato Dulbecco
60,1,True,Selman A. Waksman Award in Microbiology,Selman A. Waksman Award in Microbiology
61,7,True,National Academy of Sciences,National Academy of Sciences
62,8,False,notInC,Renato Dulbecco
63,8,True,Royal Society,Royal Society
64,2,True,Enrico Fermi,Physicist
65,5,True,Enrico Fermi,Enrico Fermi
66,7,False,notInC,Salvador Luria
67,9,False,notInC,Salvador Luria
68,3,True,Sapienza University of Rome,Sapienza University of Rome
69,6,True,Salvador Luria,Salvador Luria
70,1,True,Rockefeller Foundation,Rockefeller Foundation
71,7,True,Research fellow,Fellow
72,9,True,Columbia University,Columbia University
73,8,False,notInC,Salvador Luria
74,4,True,Max Delbrück,Max Delbrück
75,8,True,Alfred Hershey,Alfred Hershey
76,2,True,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory
77,4,True,Max Delbrück,Max Delbrück
78,8,True,notInKB,notInKB
79,7,False,notInC,Salvador Luria
80,10,True,Indiana University Bloomington,Indiana University
81,6,False,notInC,Salvador Luria
82,3,False,notInC,Student
83,2,True,James Watson,James Watson
84,2,True,Francis Crick,Francis Crick
85,6,True,Salvador Luria,Salvador Luria
86,10,True,notInKB,notInKB
87,9,True,United States,United States
88,10,True,notInKB,notInKB
89,7,True,David Cameron,Leadership
90,10,True,notInKB,notInKB
91,10,False,notInKB,notInKB
92,10,True,notInKB,notInKB
93,10,True,Republic,Republic
94,6,True,Liberal democracy,Democracy
95,9,True,Dictatorship,Dictatorship
96,10,True,notInKB,notInKB
97,8,True,Leadership,Leadership
98,1,True,notInKB,notInKB
99,10,True,notInKB,notInKB
100,10,True,notInKB,notInKB
101,2,True,President of Romania,Head of state
102,7,True,Republic,Republic
103,1,True,Presidential system,Presidential system
104,1,True,notInKB,notInKB
105,2,True,Parliamentary republic,Parliamentary republic
106,2,True,notInKB,notInKB
107,10,False,notInKB,notInKB
108,5,True,Harvard University,Harvard College
109,3,True,notInKB,notInKB
110,0,False,notInKB,notInKB
111,1,True,Eduardo Saverin,Eduardo Saverin
112,1,True,Andrew McCollum,Andrew McCollum
113,1,True,Dustin Moskovitz,Dustin Moskovitz
114,8,True,Chris Hughes (journalist),Chris Hughes
115,10,False,notInKB,notInKB
116,8,True,Harvard University,Harvard University
117,9,True,Student,Student
118,8,False,notInC,College
119,10,True,Boston,Boston
120,5,True,Ivy League,Ivy League
121,9,True,Stanford University,Stanford University
122,2,True,Professor,Professor
123,8,True,Italy,Italy
124,8,True,Professor,Professor
125,8,True,Enrico Fermi,Enrico Fermi
126,1,True,University of Cagliari,University of Cagliari
127,7,True,Sardinia,Sardinia
128,1,True,Giovanni Giorgi,Giovanni Giorgi
129,3,True,Professor,Professor
130,1,True,Sapienza University of Rome,Sapienza University of Rome
131,8,True,Italy,Italy
132,6,True,"Ministry of Education, Culture, Sports, Science and Technology",Education minister
133,7,True,Professor,Professor
134,1,True,Orso Mario Corbino,Orso Mario Corbino
