id,candidate_length,in_candidates,response,answer
0,6,False,notInC,Avery Dennison
1,7,False,notInKB,notInKB
2,10,True,West Germany,West Germany
3,1,True,Avery Dennison,Avery Dennison
4,6,True,Key Tronic,Key Tronic
5,8,True,London,London
6,8,True,Teradyne,Teradyne
7,1,True,Digital Equipment Corporation,Digital Equipment Corporation
8,9,True,Philadelphia,Philadelphia
9,8,True,Prudential Securities,Prudential Securities
10,8,True,Prudential Financial,Prudential Securities
11,2,True,Toronto Stock Exchange,Toronto Stock Exchange
12,2,True,Toronto Stock Exchange,Toronto Stock Exchange
13,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
14,8,False,notInC,Prudential Securities
15,8,False,notInKB,notInKB
16,8,True,Netherlands,Netherlands
17,9,True,notInKB,notInKB
18,8,True,Kingdom of the Netherlands,Netherlands
19,1,True,notInKB,notInKB
20,1,True,"Francis Tombs, Baron Tombs","Francis Tombs, Baron Tombs"
21,10,True,notInKB,notInKB
22,10,True,notInKB,notInKB
23,10,True,notInKB,notInKB
24,10,True,notInKB,notInKB
25,6,True,Philips,Philips
26,1,True,New York Stock Exchange,New York Stock Exchange
27,8,True,Philips,Philips
28,7,False,notInKB,notInKB
29,10,False,notInKB,notInKB
30,5,True,notInKB,notInKB
31,4,True,New York Stock Exchange,New York Stock Exchange
32,8,True,Philips,Philips
33,10,True,notInKB,notInKB
34,9,True,United States,United States
35,8,True,Philips,Philips
36,1,True,European Commission,European Commission
37,9,True,France,France
38,4,True,West Germany,West Germany
39,6,True,Belgium,Belgium
40,8,True,Spain,Spain
41,9,True,Denmark,Denmark
42,6,True,Salomon Brothers,Salomon Brothers
43,2,True,Volkswagen Group,Volkswagen Group
44,8,True,Volkswagen,Volkswagen Group
45,8,True,Volkswagen,Volkswagen Group
46,8,True,Volkswagen,Volkswagen Group
47,8,True,Volkswagen,Volkswagen Group
48,8,True,Volkswagen,Volkswagen Group
49,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
50,5,True,Hambros Bank,Hambros Bank
51,8,True,London,London
52,1,True,Toronto-Dominion Bank,Toronto-Dominion Bank
53,5,True,Hambros Bank,Hambros Bank
54,8,True,London,London
55,10,True,"Salem, Oregon","Salem, Oregon"
56,7,False,notInC,Oregon
57,6,True,Helen of Troy Limited,Helen of Troy Limited
58,5,True,U.S. Securities and Exchange Commission,U.S. Securities and Exchange Commission
59,6,True,Helen of Troy,Helen of Troy Limited
60,8,True,Drexel Burnham Lambert,Drexel Burnham Lambert
61,8,True,Brazil,Brazil
62,7,True,Hanover Insurance,Hanover Insurance
63,9,False,notInC,Hanover Insurance
64,9,False,notInC,Hanover Insurance
65,6,True,Osaka,Osaka
66,10,True,Japan,Japan
67,10,True,Japan,Japan
68,10,True,Japan,Japan
69,4,True,"Paramus, New Jersey","Paramus, New Jersey"
70,1,True,New Jersey,New Jersey
71,7,True,"Wayne, New Jersey","Wayne, New Jersey"
72,1,True,New Jersey,New Jersey
73,7,True,"Hackensack, New Jersey","Hackensack, New Jersey"
74,1,True,New Jersey,New Jersey
75,7,True,"National Park, New Jersey","National Park, New Jersey"
76,1,True,New Jersey,New Jersey
77,7,True,Key West,Key West
78,4,True,Florida,Florida
79,8,True,"Myrtle Beach, South Carolina","Myrtle Beach, South Carolina"
80,4,True,South Carolina,South Carolina
81,10,True,Houston,Houston
82,10,True,"Louisville, Kentucky","Louisville, Kentucky"
83,9,False,notInC,Kentucky
84,9,True,"Nashville, Tennessee","Nashville, Tennessee"
85,3,True,Tennessee,Tennessee
86,0,False,notInC,Zambia
87,1,True,Kenneth Kaunda,Kenneth Kaunda
88,2,True,International Monetary Fund,International Monetary Fund
89,5,True,International Monetary Fund,International Monetary Fund
90,5,True,International Monetary Fund,International Monetary Fund
91,5,True,International Monetary Fund,International Monetary Fund
92,8,True,J.P. Morgan & Co.,Drexel Burnham Lambert
93,6,True,Alex. Brown & Sons,Alex. Brown & Sons
94,6,True,Asarco,Asarco
95,1,True,Asarco,Asarco
96,1,True,First Boston,First Boston
97,8,True,notInKB,notInKB
98,8,True,"Atlantic City, New Jersey","Atlantic City, New Jersey"
99,1,True,New Jersey,New Jersey
100,8,True,"Atlantic City, New Jersey","Atlantic City, New Jersey"
101,1,True,The New England Journal of Medicine,The New England Journal of Medicine
102,6,True,Wall Street,Wall Street
103,1,True,Cetus Corporation,Cetus Corporation
104,1,True,"Emeryville, California","Emeryville, California"
105,2,True,California,California
106,9,True,Seattle,Seattle
107,10,False,notInKB,notInKB
108,8,True,"Franklin, Tennessee","Franklin, Tennessee"
109,3,True,Tennessee,Tennessee
110,3,True,Prudential Securities,Prudential Securities
111,5,True,Steven Rosenberg,Steven Rosenberg
112,2,True,National Cancer Institute,National Cancer Institute
113,2,True,National Cancer Institute,National Cancer Institute
114,5,True,Fox Chase Cancer Center,Fox Chase Cancer Center
115,9,False,notInC,Steven Rosenberg
116,1,True,Georgia Public Service Commission,Georgia Public Service Commission
117,5,True,Vogtle Electric Generating Plant,Vogtle Electric Generating Plant
118,6,True,Southern Company,Southern Company
119,8,True,Southern Company,Georgia Power
120,8,False,notInC,Georgia Power
121,3,True,Georgia Power,Georgia Power
122,3,True,Georgia Power,Georgia Power
123,8,False,notInC,Georgia Power
124,3,True,Georgia Power,Georgia Power
125,1,True,Vogtle Electric Generating Plant,Vogtle Electric Generating Plant
126,3,True,Georgia Power,Georgia Power
127,8,True,Atari Corporation,Atari
128,6,True,Paine Webber,Paine Webber
129,6,True,Atari Corporation,Atari
130,1,True,Buenos Aires Province,Buenos Aires Province
