id,candidate_length,in_candidates,response,answer
0,1,True,FTSE 100 Index,FTSE 100 Index
1,10,True,China,China
2,3,True,FTSE Group,FTSE 100 Index
3,10,True,United Kingdom,United Kingdom
4,1,True,FTSE 350 Index,FTSE 350 Index
5,1,True,Vedanta Resources,Vedanta Resources
6,3,True,ICAP (company),ICAP (company)
7,9,True,Aviva,Aviva
8,1,True,FTSE 100 Index,FTSE 100 Index
9,1,True,Weir Group,Weir Group
10,1,True,Petrofac,Petrofac
11,1,True,FTSE 100 Index,FTSE 100 Index
12,3,True,FTSE Group,FTSE 100 Index
13,10,True,Germany,Germany
14,10,True,DAX,DAX
15,10,True,DAX,DAX
16,10,True,DAX,DAX
17,9,True,United States,United States
18,4,True,S&P Dow Jones Indices,Dow Jones Industrial Average
19,10,True,Europe,Europe
20,9,True,Dow Jones Industrial Average,Dow Jones Industrial Average
21,9,True,Dow Jones Industrial Average,Dow Jones Industrial Average
22,9,True,Contract for difference,Contract for difference
23,9,True,Contract for difference,Contract for difference
24,10,True,Copyright law of the United Kingdom,United Kingdom
25,10,True,Copyright law of the United Kingdom,United Kingdom
26,1,True,Capital gains tax,Capital gains tax
27,9,True,Head (company),Head
28,9,True,London,London
29,10,True,United Kingdom,England
30,9,True,Wales,Wales
31,2,True,"Adair Turner, Baron Turner of Ecchinswell",Financial Services Authority
32,1,True,Gambling Commission,Gambling Commission
33,9,True,Apple Inc.,Apple Inc.
34,9,True,Apple Inc.,Apple Inc.
35,10,True,IPod Touch,IPod
36,7,True,ITunes Store,ITunes
37,3,True,Apple Inc.,Apple Inc.
38,9,True,United States,United States
39,8,True,IPhone,IPhone
40,4,True,Apple Inc.,Apple Inc.
41,4,True,App Store (iOS),App Store (iOS)
42,4,True,Apple Inc.,Apple Inc.
43,1,True,"Holden Beach, North Carolina","Holden Beach, North Carolina"
44,2,True,"Brunswick County, North Carolina","Brunswick County, North Carolina"
45,10,True,"Sanford, North Carolina","Sanford, North Carolina"
46,9,True,"Fayetteville, North Carolina","Fayetteville, North Carolina"
47,1,True,"Harnett County, North Carolina","Harnett County, North Carolina"
