id,candidate_length,in_candidates,response,answer
0,1,True,Brain tumor,Brain tumor
1,5,True,Breast cancer,Breast cancer
2,1,True,Bleeding,Bleeding
3,7,True,Bangkok,Bangkok
4,1,True,Radiosurgery,Radiosurgery
5,10,True,notInKB,notInKB
6,3,True,Cancer,Cancer
7,6,True,notInKB,notInKB
8,6,True,notInKB,notInKB
9,1,True,notInKB,notInKB
10,10,True,notInKB,notInKB
11,1,True,Linear particle accelerator,Linear particle accelerator
12,6,True,notInKB,notInKB
13,1,True,notInKB,notInKB
14,3,True,notInKB,notInKB
15,2,True,notInKB,notInKB
16,8,True,Malaysia,Malaysia
20,10,True,notInKB,notInKB
21,5,True,Implementation,Implementation
22,8,True,Rural area,Rural area
23,5,True,Resource allocation,Resource allocation
24,4,True,Ministry (government department),Ministry (government department)
25,10,True,notInKB,notInKB
27,4,True,notInKB,notInKB
28,1,True,Lukut,Lukut
29,1,True,Negeri Sembilan,Negeri Sembilan
30,1,True,notInKB,notInKB
31,6,True,Research,Research
32,1,True,Mechai Viravaidya,Mechai Viravaidya
34,1,True,notInKB,notInKB
35,10,True,notInKB,notInKB
37,5,True,Bank,Bank
38,5,True,Financial services,Finance
39,1,True,Bank of Thailand,Bank of Thailand
41,3,True,notInKB,notInKB
42,10,True,notInKB,notInKB
43,6,True,notInKB,notInKB
44,7,True,Russia,Russians
45,6,True,Russian mafia,Organized crime
46,1,True,Gazprom Neft,Gazprom Neft
47,4,True,Kemerovo Oblast,Kemerovo
48,10,True,notInKB,notInKB
49,7,True,Russia,Russia
50,8,True,Magnate,Business magnate
51,2,True,Boris Berezovsky (businessman),Boris Berezovsky (businessman)
52,3,True,Petroleum,Oil
54,2,True,Coal mining,Coal mining
55,1,True,Contract killing,Contract killing
56,6,True,notInKB,notInKB
57,1,True,Leninsk-Kuznetsky (city),Leninsk-Kuznetsky (city)
59,4,True,Tax evasion,Tax evasion
60,1,True,Embezzlement,Embezzlement
61,1,True,Gennady Konyakhin,Gennady Konyakhin
64,4,True,Antiquities trade,Art theft
65,7,True,Budapest,Budapest
66,1,True,Smuggling,Smuggling
67,5,True,Interpol,Interpol
68,2,True,Interpol,United Nations Police
69,4,True,notInKB,notInKB
70,9,True,France,France
71,5,True,Hungarians,Hungarians
72,6,True,Communist state,Communism
73,2,True,Hungarian forint,Hungarian forint
74,1,True,Database,Database
76,1,True,Art dealer,Art dealer
77,1,True,Auction,Auction
78,10,True,notInKB,notInKB
80,1,True,Financial institution,Financial institution
81,1,True,Thai baht,Thai baht
82,1,True,Liquidation,Liquidation
83,2,True,International Monetary Fund,International Monetary Fund
84,1,True,notInKB,notInKB
85,1,True,Bangkok Post,Bangkok Post
86,1,True,Chuan Leekpai,Chuan Leekpai
88,5,True,Queen Sirikit National Convention Center,Queen Sirikit National Convention Center
89,3,True,English defamation law,Defamation
90,6,True,Tort,Damages
91,1,True,Brooke Shields,Brooke Shields
93,10,True,Cannes Film Festival,Cannes Film Festival
94,2,True,Daily Mail,The Mail on Sunday
96,1,True,National Police (France),National Police (France)
97,1,True,DMG Media,DMG Media
98,7,True,notInKB,notInKB
